,,,Origin Accessibility,Origin Accessibility,Destination Accessibility,Destination Accessibility
,,Journey Time (min),n Services Within 15 min,n Services Within 30 min,% Service Users Within 15 min,% Service Users Within 30 min
Service,Mode,,,,,
Employment Sites - Small,Public Transport / Walk,3.16294948513923,2.53591160220994,8.07513812154696,100.0,100.0
Employment Sites - Small,Cycle,6.18651683781338,5.0353591160221,10.0,100.0,100.0
Employment Sites - Small,Car,6.13853228661451,9.53591160220994,10.0,100.0,100.0
Employment Sites - Medium,Public Transport / Walk,13.1984129377296,1.80994475138122,10.0,77.0165745856354,100.0
Employment Sites - Medium,Cycle,9.57862357778496,9.30165745856354,10.0,100.0,100.0
Employment Sites - Medium,Car,7.84735251778967,10.0,10.0,100.0,100.0
Employment Sites - Large,Public Transport / Walk,28.7312575873364,0.0,1.0353591160221,0.0,76.5745856353591
Employment Sites - Large,Cycle,21.1811231642627,0.0,4.0,0.0,100.0
Employment Sites - Large,Car,16.3901335228695,0.0,9.73038674033149,0.0,100.0
Primary Schools,Public Transport / Walk,5.0,3.0,10.0,100.0,100.0
Primary Schools,Cycle,7.0,8.0,10.0,100.0,100.0
Primary Schools,Car,7.0,10.0,10.0,100.0,100.0
Secondary Schools,Public Transport / Walk,15.9287850615684,0.148760330578512,3.14876033057851,14.8760330578512,100.0
Secondary Schools,Cycle,11.6582162828928,1.37190082644628,10.0,100.0,100.0
Secondary Schools,Car,9.18581464786208,3.0,10.0,100.0,100.0
Further Education,Public Transport / Walk,22.0434340693978,0.0,2.19736842105263,0.0,100.0
Further Education,Cycle,14.9849718199687,0.263157894736842,10.0,26.3157894736842,100.0
Further Education,Car,11.9201334142283,2.0,10.0,100.0,100.0
GP,Public Transport / Walk,21.6787848144435,0.0,9.722222,0.0,100.0
GP,Cycle,13.6061727009463,4.0,10.0,100.0,100.0
GP,Car,10.6815098714962,10.0,10.0,100.0,100.0
Hospitals,Public Transport / Walk,39.7233008373989,0.0,0.0,0.0,0.0
Hospitals,Cycle,22.2551054713431,0.0,1.0,0.0,100.0
Hospitals,Car,17.4193467832683,0.0,3.0,0.0,100.0
Food Stores,Public Transport / Walk,16.4136654694429,0.0,10.0,0.0,100.0
Food Stores,Cycle,10.7235815833124,7.487847,10.0,100.0,100.0
Food Stores,Car,8.39150979914022,10.0,10.0,100.0,100.0
Town Centres,Public Transport / Walk,25.7492129829492,0.0,1.0,0.0,100.0
Town Centres,Cycle,21.3411230116748,0.0,2.0,0.0,100.0
Town Centres,Car,16.4501335004742,0.0,10.0,0.0,100.0
